Layer,IOType,Strategy,Inputs,Outputs,ReuseFactor,Precision,AreaHLS,LatencyHLS,IIHLS,AreaSYN,RuntimeHLS,RuntimeSYN
dense,io_parallel,Latency,4,4,1,"ac_fixed<16,6,true>",5053.1,1,4,4521.734,20,45
dense,io_parallel,Latency,4,4,2,"ac_fixed<16,6,true>",6759.2,4,7,6754.538,75,46
dense,io_parallel,Latency,4,4,3,"ac_fixed<16,6,true>",5376.2,11,14,5313.616,38,37
dense,io_parallel,Latency,4,4,4,"ac_fixed<16,6,true>",5268.1,16,19,5726.448,18,34
dense,io_parallel,Resource,4,4,1,"ac_fixed<16,6,true>",5295.8,6,8,5054.798,21,40
dense,io_parallel,Resource,4,4,2,"ac_fixed<16,6,true>",6948.8,2,4,4539.822,56,40
dense,io_parallel,Resource,4,4,3,"ac_fixed<16,6,true>",6948.8,2,4,4539.822,21,41
dense,io_parallel,Resource,4,4,4,"ac_fixed<16,6,true>",4177.4,4,6,3556.686,37,35
dense,io_stream,Latency,4,4,1,"ac_fixed<16,6,true>",20295.6,1,1,5170.774,10,52
dense,io_stream,Latency,4,4,2,"ac_fixed<16,6,true>",12356.3,2,2,6831.146,12,62
dense,io_stream,Latency,4,4,3,"ac_fixed<16,6,true>",8498.1,4,4,6880.888,13,53
dense,io_stream,Latency,4,4,4,"ac_fixed<16,6,true>",8498.1,4,4,6880.888,14,53
dense,io_stream,Resource,4,4,1,"ac_fixed<16,6,true>",20295.6,1,1,5170.774,9,51
dense,io_stream,Resource,4,4,2,"ac_fixed<16,6,true>",11653.9,2,2,5640.796,11,56
dense,io_stream,Resource,4,4,3,"ac_fixed<16,6,true>",11653.9,2,2,5640.796,11,54
dense,io_stream,Resource,4,4,4,"ac_fixed<16,6,true>",6793.7,4,4,4612.706,11,41
dense,io_parallel,Latency,8,8,1,"ac_fixed<16,6,true>",17585.2,1,4,15726.984,56,114
dense,io_parallel,Latency,8,8,2,"ac_fixed<16,6,true>",24424.1,4,7,23645.272,150,125
dense,io_parallel,Latency,8,8,3,"ac_fixed<16,6,true>",20131.5,12,15,21779.814,91,114
dense,io_parallel,Latency,8,8,4,"ac_fixed<16,6,true>",18074.1,16,19,20343.414,40,111
dense,io_parallel,Latency,8,8,5,"ac_fixed<16,6,true>",18410.2,40,43,21568.876,62,109
dense,io_parallel,Latency,8,8,6,"ac_fixed<16,6,true>",18374.3,48,51,21642.824,33,103
dense,io_parallel,Latency,8,8,7,"ac_fixed<16,6,true>",18357.7,56,59,21634.312,33,109
dense,io_parallel,Latency,8,8,8,"ac_fixed<16,6,true>",17057.5,64,67,20295.534,33,107
dense,io_parallel,Resource,8,8,1,"ac_fixed<16,6,true>",15777.0,25,27,14394.058,55,113
dense,io_parallel,Resource,8,8,2,"ac_fixed<16,6,true>",26238.0,2,4,17383.100,143,94
dense,io_parallel,Resource,8,8,3,"ac_fixed<16,6,true>",26238.0,2,4,17383.100,46,93
dense,io_parallel,Resource,8,8,4,"ac_fixed<16,6,true>",15396.2,4,6,12788.482,76,94
dense,io_parallel,Resource,8,8,5,"ac_fixed<16,6,true>",15396.2,4,6,12788.482,24,92
dense,io_parallel,Resource,8,8,6,"ac_fixed<16,6,true>",15396.2,4,6,12788.482,24,94
dense,io_parallel,Resource,8,8,7,"ac_fixed<16,6,true>",8808.1,8,10,7956.858,45,50
dense,io_parallel,Resource,8,8,8,"ac_fixed<16,6,true>",8808.1,8,10,7956.858,16,47
dense,io_stream,Latency,8,8,1,"ac_fixed<16,6,true>",79611.5,1,1,17314.206,14,116
dense,io_stream,Latency,8,8,2,"ac_fixed<16,6,true>",46896.0,2,2,22322.454,19,130
dense,io_stream,Latency,8,8,3,"ac_fixed<16,6,true>",31220.1,4,4,22810.032,20,129
dense,io_stream,Latency,8,8,4,"ac_fixed<16,6,true>",31220.1,4,4,22810.032,21,130
dense,io_stream,Latency,8,8,5,"ac_fixed<16,6,true>",23005.4,8,8,20039.110,21,124
dense,io_stream,Latency,8,8,6,"ac_fixed<16,6,true>",23005.4,8,8,20039.110,20,123
dense,io_stream,Latency,8,8,7,"ac_fixed<16,6,true>",23005.4,8,8,20039.110,23,125
dense,io_stream,Latency,8,8,8,"ac_fixed<16,6,true>",23005.4,8,8,20039.110,21,125
dense,io_stream,Resource,8,8,1,"ac_fixed<16,6,true>",79611.5,1,1,18210.360,14,120
dense,io_stream,Resource,8,8,2,"ac_fixed<16,6,true>",43252.6,2,2,17628.086,16,113
dense,io_stream,Resource,8,8,3,"ac_fixed<16,6,true>",43252.6,2,2,17628.086,16,111
dense,io_stream,Resource,8,8,4,"ac_fixed<16,6,true>",23743.1,4,4,14138.964,14,111
dense,io_stream,Resource,8,8,5,"ac_fixed<16,6,true>",23743.1,4,4,14138.964,14,112
dense,io_stream,Resource,8,8,6,"ac_fixed<16,6,true>",23743.1,4,4,14138.964,14,111
dense,io_stream,Resource,8,8,7,"ac_fixed<16,6,true>",13952.8,8,8,9816.464,14,65
dense,io_stream,Resource,8,8,8,"ac_fixed<16,6,true>",13952.8,8,8,9816.464,13,66
dense,io_parallel,Latency,16,16,1,"ac_fixed<16,6,true>",70990.6,2,5,64015.294,195,409
dense,io_parallel,Latency,16,16,2,"ac_fixed<16,6,true>",82656.1,4,7,84953.750,528,442
dense,io_parallel,Latency,16,16,3,"ac_fixed<16,6,true>",80953.0,12,15,90908.426,530,475
dense,io_parallel,Latency,16,16,4,"ac_fixed<16,6,true>",59972.7,16,19,68216.232,317,366
dense,io_parallel,Latency,16,16,5,"ac_fixed<16,6,true>",65235.0,29,32,73077.648,349,371
dense,io_parallel,Latency,16,16,6,"ac_fixed<16,6,true>",56511.3,48,51,67923.100,242,354
dense,io_parallel,Latency,16,16,7,"ac_fixed<16,6,true>",55390.9,56,59,64803.186,145,354
dense,io_parallel,Latency,16,16,8,"ac_fixed<16,6,true>",55763.5,64,67,65736.846,136,360
dense,io_parallel,Latency,16,16,9,"ac_fixed<16,6,true>",54413.3,144,147,64717.800,183,388
dense,io_parallel,Latency,16,16,10,"ac_fixed<16,6,true>",44597.0,159,162,53874.310,120,309
dense,io_parallel,Latency,16,16,11,"ac_fixed<16,6,true>",60479.5,176,179,71541.232,150,392
dense,io_parallel,Latency,16,16,12,"ac_fixed<16,6,true>",41386.6,191,194,49552.874,105,265
dense,io_parallel,Latency,16,16,13,"ac_fixed<16,6,true>",41391.8,206,210,49530.264,107,257
dense,io_parallel,Latency,16,16,14,"ac_fixed<16,6,true>",41402.1,221,226,49543.032,103,260
dense,io_parallel,Latency,16,16,15,"ac_fixed<16,6,true>",54264.6,240,243,65654.918,136,341
dense,io_parallel,Latency,16,16,16,"ac_fixed<16,6,true>",53689.9,256,259,64056.790,135,365
dense,io_parallel,Resource,16,16,1,"ac_fixed<16,6,true>",55234.1,65,67,44421.468,269,424
dense,io_parallel,Resource,16,16,2,"ac_fixed<16,6,true>",96713.5,2,4,68364.926,483,322
dense,io_parallel,Resource,16,16,3,"ac_fixed<16,6,true>",96713.5,2,4,68364.926,135,323
dense,io_parallel,Resource,16,16,4,"ac_fixed<16,6,true>",53820.1,4,6,48558.300,248,209
dense,io_parallel,Resource,16,16,5,"ac_fixed<16,6,true>",53820.1,4,6,48558.300,67,206
dense,io_parallel,Resource,16,16,6,"ac_fixed<16,6,true>",53820.1,4,6,48558.300,64,209
dense,io_parallel,Resource,16,16,7,"ac_fixed<16,6,true>",29602.5,8,10,29712.200,132,140
dense,io_parallel,Resource,16,16,8,"ac_fixed<16,6,true>",29602.5,8,10,29712.200,40,135
dense,io_parallel,Resource,16,16,9,"ac_fixed<16,6,true>",29602.5,8,10,29712.200,39,139
dense,io_parallel,Resource,16,16,10,"ac_fixed<16,6,true>",29602.5,8,10,29712.200,42,138
dense,io_parallel,Resource,16,16,11,"ac_fixed<16,6,true>",29602.5,8,10,29712.200,41,124
dense,io_parallel,Resource,16,16,12,"ac_fixed<16,6,true>",29602.5,8,10,29712.200,83,141
dense,io_parallel,Resource,16,16,13,"ac_fixed<16,6,true>",16829.7,16,18,17103.268,73,52
dense,io_parallel,Resource,16,16,14,"ac_fixed<16,6,true>",16829.7,16,18,17103.268,31,52
dense,io_parallel,Resource,16,16,15,"ac_fixed<16,6,true>",16829.7,16,18,17103.268,32,53
dense,io_parallel,Resource,16,16,16,"ac_fixed<16,6,true>",16829.7,16,18,17103.268,33,53
dense,io_stream,Latency,16,16,1,"ac_fixed<16,6,true>",317801.6,2,1,77485.002,31,473
dense,io_stream,Latency,16,16,2,"ac_fixed<16,6,true>",188775.1,3,2,90059.354,53,567
dense,io_stream,Latency,16,16,3,"ac_fixed<16,6,true>",181180.2,5,4,126278.712,167,631
dense,io_stream,Latency,16,16,4,"ac_fixed<16,6,true>",122032.0,5,4,84461.384,51,497
dense,io_stream,Latency,16,16,5,"ac_fixed<16,6,true>",137421.2,7,6,108609.928,152,552
dense,io_stream,Latency,16,16,6,"ac_fixed<16,6,true>",88823.3,9,8,74030.460,55,370
dense,io_stream,Latency,16,16,7,"ac_fixed<16,6,true>",88823.3,9,8,74030.460,55,371
dense,io_stream,Latency,16,16,8,"ac_fixed<16,6,true>",88823.3,9,8,74030.460,53,368
dense,io_stream,Latency,16,16,9,"ac_fixed<16,6,true>",73001.3,17,16,68065.144,57,307
dense,io_stream,Latency,16,16,10,"ac_fixed<16,6,true>",73001.3,17,16,68065.144,56,307
dense,io_stream,Latency,16,16,11,"ac_fixed<16,6,true>",73001.3,17,16,68065.144,56,307
dense,io_stream,Latency,16,16,12,"ac_fixed<16,6,true>",73001.3,17,16,68065.144,58,312
dense,io_stream,Latency,16,16,13,"ac_fixed<16,6,true>",73001.3,17,16,68065.144,57,312
dense,io_stream,Latency,16,16,14,"ac_fixed<16,6,true>",73001.3,17,16,68065.144,64,321
dense,io_stream,Latency,16,16,15,"ac_fixed<16,6,true>",73001.3,17,16,68065.144,62,312
dense,io_stream,Latency,16,16,16,"ac_fixed<16,6,true>",73001.3,17,16,68065.144,58,310
dense,io_stream,Resource,16,16,1,"ac_fixed<16,6,true>",317801.6,2,1,77493.514,31,468
dense,io_stream,Resource,16,16,2,"ac_fixed<16,6,true>",166497.9,2,2,62770.946,29,422
dense,io_stream,Resource,16,16,3,"ac_fixed<16,6,true>",166497.9,2,2,62770.946,28,415
dense,io_stream,Resource,16,16,4,"ac_fixed<16,6,true>",88390.4,4,4,45794.826,23,290
dense,io_stream,Resource,16,16,5,"ac_fixed<16,6,true>",88390.4,4,4,45794.826,22,291
dense,io_stream,Resource,16,16,6,"ac_fixed<16,6,true>",88390.4,4,4,45794.826,22,283
dense,io_stream,Resource,16,16,7,"ac_fixed<16,6,true>",49206.6,8,8,28948.514,18,182
dense,io_stream,Resource,16,16,8,"ac_fixed<16,6,true>",49206.6,8,8,28948.514,18,180
dense,io_stream,Resource,16,16,9,"ac_fixed<16,6,true>",49206.6,8,8,28948.514,16,182
dense,io_stream,Resource,16,16,10,"ac_fixed<16,6,true>",49206.6,8,8,28948.514,16,179
dense,io_stream,Resource,16,16,11,"ac_fixed<16,6,true>",49206.6,8,8,28948.514,16,180
dense,io_stream,Resource,16,16,12,"ac_fixed<16,6,true>",49206.6,8,8,28948.514,16,184
dense,io_stream,Resource,16,16,13,"ac_fixed<16,6,true>",29904.6,16,16,18597.124,15,75
dense,io_stream,Resource,16,16,14,"ac_fixed<16,6,true>",29904.6,16,16,18597.124,14,74
dense,io_stream,Resource,16,16,15,"ac_fixed<16,6,true>",29904.6,16,16,18597.124,15,74
dense,io_stream,Resource,16,16,16,"ac_fixed<16,6,true>",29904.6,16,16,18597.124,14,73
dense,io_parallel,Latency,32,32,1,"ac_fixed<16,6,true>",235111.8,2,5,209189.848,4431,1252
dense,io_parallel,Latency,32,32,2,"ac_fixed<16,6,true>",336938.7,4,7,323663.480,3137,1857
dense,io_parallel,Latency,32,32,3,"ac_fixed<16,6,true>",304829.3,12,15,341739.510,2986,2067
dense,io_parallel,Latency,32,32,4,"ac_fixed<16,6,true>",222060.9,16,19,254052.876,1876,1422
dense,io_parallel,Latency,32,32,5,"ac_fixed<16,6,true>",250385.3,30,33,278276.964,2669,1513
dense,io_parallel,Latency,32,32,6,"ac_fixed<16,6,true>",231733.9,41,44,251256.950,2897,1804
dense,io_parallel,Latency,32,32,7,"ac_fixed<16,6,true>",206076.3,56,59,240531.830,1770,1561
dense,io_parallel,Latency,32,32,8,"ac_fixed<16,6,true>",200782.5,64,67,235942.532,1355,1388
dense,io_parallel,Latency,32,32,9,"ac_fixed<16,6,true>",214898.2,96,101,231458.038,2605,1949
dense,io_parallel,Latency,32,32,10,"ac_fixed<16,6,true>",214817.3,106,112,230202.252,2201,1872
dense,io_parallel,Latency,32,32,11,"ac_fixed<16,6,true>",175583.4,172,178,208431.748,1258,1673
dense,io_parallel,Latency,32,32,12,"ac_fixed<16,6,true>",206046.9,192,195,243854.702,1578,1478
dense,io_parallel,Latency,32,32,13,"ac_fixed<16,6,true>",200454.9,208,211,237098.568,1605,1400
dense,io_parallel,Latency,32,32,14,"ac_fixed<16,6,true>",163124.5,223,226,196196.280,1220,1560
dense,io_parallel,Latency,32,32,15,"ac_fixed<16,6,true>",206471.4,240,243,246809.164,1649,1407
dense,io_parallel,Latency,32,32,16,"ac_fixed<16,6,true>",164414.2,255,258,201749.828,1145,1314
dense,io_parallel,Latency,32,32,17,"ac_fixed<16,6,true>",188728.5,532,546,223396.908,1075,1348
dense,io_parallel,Latency,32,32,18,"ac_fixed<16,6,true>",188731.7,563,578,223188.364,972,1555
dense,io_parallel,Latency,32,32,19,"ac_fixed<16,6,true>",188736.7,594,610,224093.030,1006,1542
dense,io_parallel,Latency,32,32,20,"ac_fixed<16,6,true>",188742.7,625,642,223202.462,1008,1552
dense,io_parallel,Latency,32,32,21,"ac_fixed<16,6,true>",188749.5,656,674,223123.194,1032,1635
dense,io_parallel,Latency,32,32,22,"ac_fixed<16,6,true>",188751.1,687,706,223707.330,1014,1375
